location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#gender+code,#age+range,#age+min,#age+max,#population,#date+start,#date+end
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,40-44,40,44,209149,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,45-49,45,49,189253,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,50-54,50,54,164095,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,55-59,55,59,135804,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,60-64,60,64,104473,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,65-69,65,69,73109,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,70-74,70,74,49598,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,75-79,75,79,30243,2024-01-01,2024-12-31
SDN,True,True,Aj Jazirah,,SD15,Aj Jazirah,SD15-XXX,UNSPECIFIED,all,80+,80,None,23961,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,all,None,None,408286,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,m,all,None,None,405644,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,all,all,None,None,813930,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,0-4,0,4,73676,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,5-9,5,9,60877,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,10-14,10,14,54810,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,15-19,15,19,54903,2024-01-01,2024-12-31
SDN,True,True,Blue Nile,,SD08,Blue Nile,SD08-XXX,UNSPECIFIED,f,20-24,20,24,40880,2024-01-01,2024-12-31
